Group A,vs. Group B,Top 10 Relative Traits,Average Valence
上海,东北,"卓越, 健忘, 周到, 准时, 细致, 审慎, 锐意, 拖延, 可靠, 完美",0.955
上海,云南,"泼妇, 诚信, 倚老卖老, 素质, 势利, 怀旧, 人情味, 歧视, 拜金, 外向",-0.249
上海,内蒙古,"拜金, 人情味, 从良, 倚老卖老, 势利, 刻薄, 泼妇, 乐天, 挑剔, 八面玲珑",-0.571
上海,北京,"念旧, 激进, 泼妇, 拜金, 同情心, 陋习, 风骚, 痴心, 求知欲, 怪僻",-0.443
上海,台湾,"挑剔, 急躁, 恒心, 细心, 淘气, 泼妇, 机智, 絮叨, 洒脱, 体贴入微",0.277
上海,吉林,"势利, 拜金, 挑剔, 泼妇, 婆妈, 苛刻, 人情味, 从良, 倚老卖老, 离经叛道",-1.037
上海,四川,"准时, 拜金, 挑剔, 素质, 卓越, 倚老卖老, 势利, 泼妇, 惰性, 从良",-0.431
上海,天津,"势利, 陋习, 拜金, 节俭, 苛刻, 偏见, 武断, 狭隘, 薄情, 娇生惯养",-1.18
上海,宁夏,"拜金, 泼妇, 八面玲珑, 从良, 势利, 素质, 讨厌, 准时, 外向, 乖僻",-0.306
上海,安徽,"乐天, 人情味, 情绪化, 怀旧, 品质, 纯正, 拜金, 劣根性, 素质, 卓越",0.426
上海,山东,"拜金, 人情味, 健忘, 怀旧, 从良, 善忘, 浪漫, 周到, 任性, 挑剔",0.025
上海,山西,"拜金, 怀旧, 准时, 挑剔, 从良, 独立, 卓越, 诚信, 歧视, 浪漫",0.575
上海,广东,"泼妇, 耐心, 挑剔, 刻薄, 脾气, 细致, 势利, 苛刻, 骄横, 从良",-0.603
上海,广西,"挑剔, 刻薄, 势利, 苛刻, 诚信, 乖僻, 人情味, 劣根性, 顽固, 尖酸",-0.769
上海,新疆,"挑剔, 八面玲珑, 拜金, 势利, 从良, 泰然, 耐性, 刻薄, 倚老卖老, 循规蹈矩",-0.354
上海,江苏,"怀旧, 黑心, 人情味, 乖僻, 情绪化, 拜金, 伪善, 浮夸, 怪僻, 万恶",-1.126
上海,江西,"完美, 挑剔, 品质, 泼妇, 歧视, 卓越, 别扭, 乐天, 随便, 纯正",0.241
上海,河北,"拜金, 浪漫, 人情味, 怀旧, 挑剔, 品味, 从良, 奢侈, 准时, 尖酸",0.078
上海,河南,"从良, 细致, 浪漫, 拜金, 手巧, 细心, 敏感, 卓越, 人情味, 挑剔",0.692
上海,浙江,"乖僻, 刻薄, 别扭, 尖酸, 情绪化, 健忘, 挑剔, 浪漫, 任性, 纯正",-0.639
上海,海南,"诚信, 刻薄, 准时, 博爱, 耐心, 可靠, 泼妇, 势利, 体面, 歧视",0.292
上海,湖北,"从良, 挑剔, 素质, 拜金, 品味, 完美, 奢侈, 卓越, 泼妇, 准时",0.245
上海,湖南,"挑剔, 别扭, 从良, 泼妇, 素质, 面善, 人情味, 苛刻, 完美, 乖僻",0.026
上海,澳门,"泼妇, 刻薄, 尖酸, 缺德, 絮叨, 拖拉, 文静, 脾气, 伶俐, 厚道",-0.626
上海,甘肃,"拜金, 卓越, 浪漫, 怀旧, 人情味, 泼妇, 素质, 诚信, 讨厌, 准时",0.461
上海,福建,"挑剔, 苛刻, 泼妇, 准时, 浪漫, 细致, 活泼, 完美, 耐心, 刻薄",0.461
上海,西藏,"泼妇, 准时, 倚老卖老, 刻薄, 挑剔, 诚信, 素质, 上进, 信誉, 卓越",0.401
上海,贵州,"泼妇, 从良, 刻薄, 八面玲珑, 尖酸, 素质, 挑剔, 雷厉风行, 婆妈, 理性",-0.298
上海,辽宁,"势利, 挑剔, 手巧, 人情味, 健忘, 拜金, 乖僻, 离经叛道, 从良, 品味",-0.369
上海,重庆,"素质, 卓越, 拜金, 坚决, 尖酸, 势利, 优秀, 一视同仁, 无理, 陈腐",-0.073
上海,陕西,"拜金, 从良, 挑剔, 素质, 怀旧, 讨厌, 浪漫, 势利, 乖僻, 泼妇",-0.465
上海,青海,"素质, 泼妇, 准时, 刻薄, 拜金, 挑剔, 卓越, 势利, 从良, 尖酸",-0.487
上海,香港,"手巧, 牛脾气, 泼妇, 文静, 专一, 刻薄, 淘气, 恒心, 薄情, 健谈",0.076
上海,黑龙江,"人情味, 拜金, 势利, 墨守成规, 挑剔, 八面玲珑, 泼妇, 远见, 周到, 拘泥",-0.338
东北,上海,"豪爽, 豪放, 硬汉, 豪迈, 吹牛, 耿直, 血气方刚, 好客, 淳朴, 气节",1.221
东北,云南,"硬汉, 幽默, 歧视, 外向, 素质, 口才, 内向, 劣根性, 抄袭, 猥琐",-0.399
东北,内蒙古,"气节, 骨气, 幽默, 中庸, 劣根性, 猥琐, 幼稚, 泼妇, 倚老卖老, 土气",-0.394
东北,北京,"豪放, 豪爽, 豪迈, 好客, 奔放, 穷凶极恶, 猥琐, 淳朴, 耿直, 纯朴",0.757
东北,台湾,"豪爽, 豪放, 豪迈, 好客, 耿直, 奔放, 厚道, 淳朴, 硬朗, 气节",1.521
东北,吉林,"豪爽, 豪放, 耿直, 劣根性, 骨气, 豪迈, 气节, 淳朴, 硬汉, 猥琐",0.794
东北,四川,"劣根性, 素质, 硬汉, 内向, 土气, 豪爽, 外向, 好客, 绅士, 缺德",0.379
东北,天津,"豪放, 豪爽, 野蛮, 好客, 豪迈, 淳朴, 忘恩负义, 耿直, 穷凶极恶, 气节",0.441
东北,宁夏,"幽默, 猥琐, 好客, 绅士, 豪爽, 豪放, 外向, 劣根性, 粗俗, 素质",0.457
东北,安徽,"劣根性, 极端, 团结, 纯正, 好客, 奔放, 豪爽, 豪放, 野蛮, 土气",0.469
东北,山东,"奔放, 豪放, 豪爽, 土气, 外向, 幽默, 人情味, 粗俗, 劣根性, 硬汉",0.63
东北,山西,"奔放, 猥琐, 豪放, 歧视, 好客, 独立, 豪爽, 外向, 幽默, 绅士",0.777
东北,广东,"豪爽, 豪放, 淳朴, 脾气, 耿直, 劣根性, 骄横, 朴实, 善良, 好客",0.714
东北,广西,"豪爽, 劣根性, 豪放, 幽默, 好客, 邋遢, 硬汉, 野蛮, 外向, 本性",0.372
东北,新疆,"气节, 骨气, 豪爽, 忍让, 窝囊, 忍耐力, 寡言, 牛脾气, 豪放, 耿直",0.454
东北,江苏,"硬汉, 豪放, 好客, 豪爽, 淳朴, 土气, 朴实, 粗俗, 纯朴, 奔放",1.076
东北,江西,"豪爽, 纯正, 歧视, 硬汉, 劣根性, 野蛮, 豪放, 土气, 猥琐, 好客",0.008
东北,河北,"豪放, 豪爽, 好客, 粗俗, 奔放, 劣根性, 含蓄, 淳朴, 浪漫, 绅士",0.867
东北,河南,"豪放, 奔放, 豪爽, 癖好, 硬汉, 极端, 成熟, 外向, 劣根性, 含蓄",0.44
东北,浙江,"豪爽, 硬汉, 豪放, 粗俗, 粗野, 好客, 豪迈, 土气, 奔放, 野蛮",0.521
东北,海南,"幽默, 豪爽, 猥琐, 内向, 团结, 歧视, 厚道, 老实, 劣根性, 耿直",0.249
东北,湖北,"豪放, 素质, 劣根性, 粗俗, 豪爽, 土气, 癖好, 流氓, 野蛮, 硬汉",-0.282
东北,湖南,"硬汉, 吹牛, 粗野, 豪爽, 脾气, 劣根性, 别扭, 土气, 粗俗, 野蛮",-0.574
东北,澳门,"豪爽, 豪放, 耿直, 豪迈, 厚道, 牛脾气, 气节, 朴实, 木讷, 缺德",0.635
东北,甘肃,"幽默, 绅士, 癖好, 好客, 豪爽, 素质, 外向, 内向, 猥琐, 抄袭",0.234
东北,福建,"豪放, 豪爽, 奔放, 幽默, 豪迈, 硬汉, 好客, 耿直, 刚强, 粗俗",1.229
东北,西藏,"泼妇, 口才, 素质, 鄙视, 幽默, 豪爽, 倚老卖老, 刻薄, 内向, 健谈",-0.158
东北,贵州,"硬汉, 豪放, 豪爽, 幽默, 劣根性, 流氓, 泼妇, 刚强, 血气方刚, 猥琐",0.091
东北,辽宁,"豪爽, 好客, 外向, 豪放, 劣根性, 粗俗, 淳朴, 土气, 纯朴, 奔放",0.749
东北,重庆,"气节, 骨气, 素质, 野蛮, 豪爽, 正派, 土气, 正直, 缺德, 败类",0.297
东北,陕西,"好客, 癖好, 外向, 幽默, 劣根性, 素质, 豪放, 歧视, 豪爽, 绅士",0.541
东北,青海,"幽默, 素质, 口才, 以牙还牙, 歧视, 猥琐, 泼妇, 诡辩, 劣根性, 内向",-0.834
东北,香港,"豪爽, 豪放, 牛脾气, 耿直, 豪迈, 气节, 好客, 厚道, 淳朴, 文静",1.268
东北,黑龙江,"豪爽, 好客, 豪放, 气节, 豪迈, 耿直, 骨气, 阿谀奉承, 淳朴, 劣根性",0.877
云南,上海,"谋反, 逍遥, 骁勇, 正气, 随意, 温和, 豪迈, 爱民如子, 豪爽, 慈悲",1.166
云南,东北,"功德, 漫不经心, 匆忙, 无悔, 悔恨, 恣意, 小心翼翼, 拖延, 随意, 涣散",-0.263
云南,内蒙古,"泰然, 君子, 达观, 忠孝, 乐天, 忠烈, 从容不迫, 独善其身, 从容, 慢条斯理",1.49
云南,北京,"逞强, 贪欲, 悲天悯人, 慈悲, 贪心, 任其自然, 果敢, 悔恨, 短见, 作恶多端",-0.886
云南,台湾,"寒微, 洒脱, 豪爽, 骁勇, 潇洒, 从容, 豪迈, 达观, 癫狂, 张扬",0.746
云南,吉林,"独善其身, 逍遥自在, 侠义, 果敢, 恣意, 从容, 招摇, 大义凛然, 置身事外, 逍遥",0.685
云南,四川,"温和, 逍遥自在, 淡漠, 挥霍, 风度翩翩, 恍惚, 镇静, 漫不经心, 体贴入微, 古怪",0.138
云南,天津,"果敢, 逍遥, 短见, 功德, 慈悲, 无情, 谋反, 独善其身, 贪欲, 慷慨",0.081
云南,宁夏,"独善其身, 君子, 逍遥自在, 辩才, 潇洒, 从容不迫, 置身事外, 任其自然, 风流, 幽雅",0.679
云南,安徽,"乐天, 独善其身, 独特, 逍遥自在, 功德, 逍遥, 独一无二, 达观, 幽雅, 任其自然",1.044
云南,山东,"恣意, 泰然, 逍遥自在, 任其自然, 淡漠, 漫不经心, 逍遥, 果敢, 无悔, 达观",0.51
云南,山西,"随意, 恣意, 纯洁, 幽雅, 任其自然, 泰然, 逍遥自在, 优雅, 恬静, 温柔",1.124
云南,广东,"雍容, 小心翼翼, 从容, 悲天悯人, 忸怩, 天真无邪, 恣意, 逍遥, 置身事外, 贪婪",-0.053
云南,广西,"达观, 独善其身, 悲天悯人, 小心翼翼, 慢条斯理, 谨慎, 君子, 漫不经心, 豪爽, 雍容",0.519
云南,新疆,"置身事外, 独善其身, 从容不迫, 君子, 泰然, 逍遥自在, 忠孝, 从容, 达观, 逞强",0.983
云南,江苏,"慈悲, 逍遥自在, 纯朴, 正气, 恣意, 淳朴, 功德, 朴实无华, 果敢, 招摇",1.196
云南,江西,"温柔, 脆弱, 君子, 随意, 完美, 独善其身, 雍容, 优雅, 温和, 幽雅",1.042
云南,河北,"幽雅, 短见, 慵懒, 慢条斯理, 漫不经心, 温柔, 乐天, 达观, 任其自然, 逍遥自在",0.341
云南,河南,"幽雅, 慢条斯理, 恬静, 温柔, 小心翼翼, 漫不经心, 从容不迫, 任其自然, 逍遥, 敏感",0.568
云南,浙江,"雍容, 小心翼翼, 恣意, 随意, 君子, 醇厚, 温驯, 脆弱, 古怪, 温柔",0.428
云南,海南,"从容, 谨慎, 小心, 果断, 随意, 漫不经心, 小心翼翼, 信任, 认真, 矜持",0.796
云南,湖北,"幽雅, 任其自然, 随意, 逍遥, 独特, 雍容, 恬静, 君子, 逍遥自在, 泰然",0.984
云南,湖南,"功德, 雍容, 慈悲, 逍遥, 随意, 逍遥自在, 任其自然, 君子, 漫不经心, 小心翼翼",0.637
云南,澳门,"豪爽, 文静, 豪迈, 秉性, 耿直, 寒微, 乖巧, 寡言, 君子, 木讷",0.683
