word,北京,上海,天津,重庆,河北,山西,内蒙古,东北,辽宁,吉林,黑龙江,江苏,浙江,安徽,福建,江西,山东,台湾,河南,湖北,湖南,广东,广西,海南,香港,澳门,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
阿谀奉承,0.1784,0.1455,0.1921,0.1981,0.1779,0.228,0.1843,0.2521,0.1786,0.1572,0.1281,0.1913,0.1628,0.2035,0.1962,0.2264,0.2634,0.1835,0.2356,0.2141,0.2025,0.1691,0.1769,0.1912,0.1653,0.1244,0.211,0.1879,0.2031,0.1911,0.203,0.1824,0.1704,0.1582,0.1429
哀号,0.115,0.1257,0.1241,0.1572,0.161,0.1581,0.1798,0.1462,0.1438,0.1447,0.1711,0.1836,0.1257,0.186,0.1851,0.1706,0.2219,0.1213,0.1721,0.1553,0.1526,0.1356,0.1957,0.191,0.1655,0.0807,0.1951,0.144,0.207,0.1861,0.1749,0.2227,0.1898,0.1773,0.1429
哀求,0.1388,0.1129,0.1607,0.1592,0.1913,0.2034,0.2055,0.1531,0.1744,0.1724,0.1768,0.2418,0.1566,0.261,0.2034,0.2104,0.2459,0.1338,0.2245,0.2116,0.176,0.1215,0.1687,0.1556,0.1456,0.1223,0.2035,0.1637,0.1957,0.1564,0.2421,0.2257,0.2147,0.2129,0.1263
哀伤,0.1447,0.1331,0.1642,0.1685,0.1931,0.2042,0.2109,0.1723,0.1862,0.2173,0.2248,0.2212,0.1267,0.1825,0.1381,0.1777,0.2393,0.1468,0.1951,0.2192,0.2082,0.1634,0.2133,0.2141,0.1834,0.1549,0.2349,0.1683,0.2561,0.2452,0.225,0.2584,0.2525,0.2186,0.1774
哀痛,0.1063,0.0989,0.1174,0.1634,0.1899,0.196,0.1753,0.1152,0.1748,0.173,0.158,0.1523,0.0902,0.1663,0.1309,0.1806,0.2194,0.1234,0.2055,0.2142,0.1917,0.13,0.1847,0.182,0.1394,0.1236,0.1969,0.1545,0.2114,0.1979,0.2044,0.2292,0.203,0.1699,0.1173
挨打,0.1694,0.1568,0.2026,0.188,0.1871,0.2216,0.2198,0.2773,0.2314,0.1816,0.2102,0.2081,0.1315,0.1579,0.1626,0.1455,0.2348,0.1669,0.1607,0.1375,0.1479,0.1601,0.1668,0.1612,0.1766,0.111,0.2226,0.1519,0.1651,0.1667,0.2152,0.204,0.1611,0.1795,0.1922
挨饿,0.1737,0.1278,0.1781,0.2098,0.1843,0.2155,0.2458,0.2804,0.1727,0.1845,0.1942,0.1893,0.1323,0.1701,0.1307,0.1526,0.2601,0.1448,0.2023,0.1821,0.1717,0.1489,0.1685,0.1988,0.1422,0.1008,0.2187,0.2337,0.2059,0.2518,0.2247,0.248,0.2214,0.221,0.1843
挨近,0.1749,0.1708,0.1781,0.1978,0.1631,0.1949,0.1947,0.1869,0.1256,0.1702,0.175,0.2095,0.1195,0.1732,0.1494,0.1694,0.204,0.1659,0.1566,0.1841,0.1737,0.137,0.1683,0.2258,0.1643,0.1286,0.2053,0.2029,0.2182,0.2411,0.1809,0.2117,0.2113,0.1965,0.1903
挨着,0.3602,0.3023,0.3568,0.3196,0.315,0.3261,0.3059,0.3608,0.2913,0.3234,0.3195,0.3416,0.2704,0.2947,0.2398,0.2487,0.3502,0.2422,0.3082,0.2937,0.3019,0.2298,0.2549,0.2565,0.2498,0.205,0.335,0.287,0.2699,0.2431,0.3055,0.2908,0.2631,0.299,0.3613
癌细胞,0.1126,0.1071,0.0951,0.1371,0.1136,0.0788,0.0793,0.1814,0.1037,0.0857,0.1311,0.0933,0.0927,0.1451,0.138,0.0925,0.1065,0.0849,0.1127,0.0967,0.1217,0.1333,0.1492,0.1061,0.1171,0.1424,0.1175,0.1344,0.1507,0.1363,0.0994,0.1214,0.1109,0.1264,0.0772
癌症,0.2085,0.2125,0.1734,0.224,0.1847,0.1556,0.1652,0.228,0.194,0.1843,0.2234,0.171,0.1743,0.2106,0.1913,0.1219,0.1734,0.1927,0.2018,0.1683,0.2139,0.2014,0.1948,0.1868,0.1965,0.2055,0.2214,0.205,0.204,0.2145,0.1593,0.1634,0.1697,0.1908,0.1648
矮小,0.1974,0.1479,0.1575,0.165,0.2244,0.2226,0.2475,0.3137,0.2348,0.2343,0.2855,0.2073,0.1582,0.2666,0.215,0.2229,0.2761,0.2053,0.2481,0.2291,0.2375,0.2005,0.2525,0.2424,0.1939,0.126,0.2403,0.228,0.2257,0.2726,0.2295,0.2459,0.2546,0.1843,0.2337
爱好,0.2426,0.2574,0.2799,0.2883,0.2543,0.2609,0.2863,0.3436,0.2928,0.3198,0.3344,0.305,0.2834,0.2802,0.2431,0.2478,0.3147,0.2422,0.2356,0.2388,0.2861,0.271,0.2593,0.2711,0.2059,0.195,0.2912,0.2614,0.2562,0.2863,0.2241,0.2354,0.282,0.2282,0.2523
爱护,0.1615,0.1705,0.1763,0.184,0.1586,0.1659,0.1759,0.1566,0.1819,0.1637,0.1884,0.192,0.1322,0.1991,0.1441,0.1517,0.1881,0.1815,0.1722,0.1853,0.1918,0.1435,0.1597,0.1885,0.178,0.161,0.1802,0.1581,0.1885,0.2216,0.1657,0.1755,0.2054,0.1875,0.1877
爱民如子,0.1552,0.1183,0.1367,0.1739,0.198,0.271,0.2127,0.2367,0.2074,0.165,0.1424,0.1903,0.1789,0.2061,0.2331,0.2626,0.2913,0.2316,0.2681,0.2274,0.2277,0.1792,0.2191,0.2529,0.2131,0.1847,0.2526,0.2221,0.2549,0.2336,0.2373,0.2286,0.2081,0.2035,0.1884
