,北京,上海,天津,重庆,河北,山西,内蒙古,东北,辽宁,吉林,黑龙江,江苏,浙江,安徽,福建,江西,山东,台湾,河南,湖北,湖南,广东,广西,海南,香港,澳门,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
0,可靠,歧视,纯正,豪爽,本分,豪爽,豪爽,豪爽,豪爽,好客,纯正,文静,志愿,文静,志愿,豪爽,豪爽,独立,歧视,豪爽,豪爽,歧视,刁民,好客,乐天,乐天,豪爽,好客,豪爽,淳朴,张扬,寒微,豪爽,豪爽,纯正
1,卓越,卓越,老实,好客,歧视,骁勇,纯正,好客,歧视,豪爽,老实,卓越,卓越,豪爽,歧视,刁民,斯文,乐天,本分,好客,文静,纯正,文静,逍遥,卓越,歧视,豪迈,豪爽,逍遥,纯朴,豪爽,豪爽,好客,豪迈,野蛮
2,纯正,讨厌,仁爱,仁爱,志愿,本分,好客,豪放,专一,纯正,歧视,果断,歧视,流氓,刁民,耿直,好客,讨厌,豪爽,歧视,好客,斯文,志愿,豪爽,纯正,卓越,好客,小气,好客,虔诚,豪迈,张扬,淳朴,卓越,卓越
3,诚信,诚信,博爱,张扬,老实,耿直,歧视,歧视,志愿,文静,文静,能干,专一,老实,念旧,志愿,博学,白痴,博爱,文静,专一,好客,歧视,乐天,独立,纯正,仁义,奢侈,张扬,好客,老实,骁勇,逍遥,文静,独立
4,老实,势利,口才,健谈,豪爽,豪迈,老实,豪迈,骁勇,诚实,黑心,老实,博学,斯文,忠孝,好客,歧视,独裁,刁民,小气,耿直,讨厌,猖狂,豪迈,白痴,友好,老实,黑心,豪迈,慈悲,骁勇,豪迈,豪迈,仁爱,歧视
5,歧视,博爱,乐天,吹牛,仁爱,牛脾气,淳朴,淳朴,友好,老实,讨厌,歧视,果断,混蛋,纯正,博学,仁义,怀旧,好客,专一,讨厌,万恶,混账,刁民,歧视,诚信,耿直,纯正,文静,豪放,仁义,老实,纯正,好客,好客
6,乐天,小气,吹牛,豪迈,能干,忠烈,豪放,老实,本分,友好,志愿,聪明,能干,健谈,混账,无知,仁爱,纯正,仁义,博爱,志愿,怀旧,果敢,豪放,完美,信誉,豪放,淳朴,淳朴,豪爽,文静,志气,纯朴,博爱,淳朴
7,万恶,万恶,可靠,博爱,骁勇,博学,豪迈,耿直,文静,本分,豪爽,博学,诚信,博学,斯文,上进,老实,自以为是,诚信,志愿,歧视,浮夸,好客,混账,鄙视,怀旧,忠义,可靠,爽快,奔放,混账,志向,张扬,老实,老实
8,信誉,挑剔,歧视,老实,刁民,占便宜,志愿,吹牛,豪迈,能干,纯粹,豪爽,上进,专一,忠烈,文静,混蛋,卓越,仁爱,忠义,博学,刁民,纯正,志向,蹩脚,好客,专一,老实,老实,纯正,英明,豪放,文静,纯正,能干
9,鄙视,纯正,友好,文静,专一,渊博,野蛮,纯正,博学,歧视,万恶,白痴,本分,机灵,本分,混账,吹牛,万恶,博学,老实,豪迈,鄙视,豪爽,混蛋,纯粹,拜金,逍遥,好学,君子,纯洁,流氓,安分,豪放,混账,优秀
