,北京,上海,天津,重庆,河北,山西,内蒙古,东北,辽宁,吉林,黑龙江,江苏,浙江,安徽,福建,江西,山东,台湾,河南,湖北,湖南,广东,广西,海南,香港,澳门,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆
0,歧视,歧视,吹牛,张扬,歧视,牛脾气,歧视,歧视,歧视,歧视,歧视,歧视,歧视,流氓,歧视,刁民,歧视,讨厌,歧视,歧视,讨厌,歧视,刁民,刁民,白痴,歧视,张扬,小气,张扬,迷信,张扬,寒微,张扬,混账,野蛮
1,万恶,讨厌,歧视,吹牛,刁民,占便宜,野蛮,吹牛,刁民,万恶,黑心,白痴,刁民,混蛋,刁民,无知,混蛋,白痴,刁民,小气,歧视,讨厌,歧视,混账,歧视,拜金,吹牛,奢侈,多事,万恶,混账,张扬,狂暴,占便宜,歧视
2,鄙视,势利,讨厌,小气,张扬,混账,占便宜,流氓,混账,迷信,讨厌,鄙视,鄙视,猥琐,混账,混账,吹牛,独裁,缺德,讨厌,无知,万恶,猖狂,混蛋,鄙视,独裁,小气,黑心,随意,邪恶,流氓,自负,凶猛,张扬,随便
3,讨厌,小气,内向,任性,趁火打劫,脾气,吹牛,野蛮,窝囊,缺德,万恶,冒昧,万恶,混账,混蛋,混蛋,流氓,自以为是,吹牛,无知,鄙视,浮夸,混账,讨厌,蹩脚,万恶,猖狂,俗气,漫不经心,本性,算计,贪心,凝重,歧视,黑心
4,黑心,万恶,流氓,流氓,混蛋,刁民,混蛋,猥琐,占便宜,张扬,混蛋,小气,讨厌,张扬,迷信,张扬,鄙视,万恶,无知,混蛋,白痴,刁民,混蛋,流氓,万恶,瞒骗,歧视,歧视,寒微,愚昧,刁民,灰心,古怪,混蛋,流氓
5,随便,挑剔,别扭,拘束,占便宜,张扬,刁民,刁民,流氓,混蛋,流氓,混蛋,败类,木讷,占便宜,迂腐,骄傲,鄙视,混账,骄傲,刁民,鄙视,丧心病狂,穷凶极恶,独裁,沉迷,无知,吹牛,无知,野蛮,占便宜,胆怯,阴沉,白痴,讨厌
6,抄袭,刻薄,脾气,猖狂,混账,吹牛,白痴,讨厌,穷凶极恶,小人,白痴,流氓,势利,小气,浑蛋,小气,讨厌,无知,混蛋,狡猾,心计,黑心,无知,多事,流氓,随便,刁民,猖狂,万恶,极端,混蛋,刁民,万恶,刁民,邪恶
7,混账,泼妇,占便宜,歧视,败类,寒微,混账,粗俗,野蛮,混账,邪恶,无耻,黑心,歧视,无知,白痴,小人,抄袭,败类,薄情,张扬,迷信,恶霸,张扬,拜金,鄙视,讨厌,吝啬,恶劣,歧视,吹牛,骄傲,混账,小气,万恶
8,混蛋,拜金,混蛋,讨厌,吹牛,混蛋,张扬,占便宜,万恶,白痴,冷酷,讨厌,小气,恶霸,居心,猖狂,野蛮,蹩脚,张扬,鄙视,装傻,小气,败类,白痴,讨厌,投机,流氓,张扬,多嘴,穷凶极恶,多嘴,认命,无知,敏感,白痴
9,占便宜,鄙视,张扬,万恶,小人,小气,恶劣,鄙视,混蛋,脾气,缺德,骄傲,负心,装傻,败类,木讷,混账,偏见,多嘴,牛脾气,万恶,肤浅,黑心,恶劣,随便,黑心,万恶,刁民,吹牛,刁民,骄傲,惶恐,性急,奢侈,风骚
